ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
39,54,1,10/2/2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
40,33,2,1/3/2025,5,Five stars  for the quick delivery.,0,Positive,0.0 to 0.49
41,93,17,5/15/2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
42,72,15,3/21/2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
43,84,15,2/2/2025,4,Exceeded my  expectations!,0,Positive,0.0 to 0.49
44,44,17,4/20/2023,5,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
45,11,16,3/23/2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
46,27,5,5/7/2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
47,19,13,6/1/2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
48,70,17,10/8/2023,4,Shipping was fast and the item  was well-packaged.,0,Positive,0.0 to 0.49
49,3,7,6/9/2025,3,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
50,62,4,1/7/2023,1,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
51,49,17,4/14/2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
52,75,11,4/7/2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
53,73,18,12/28/2025,4,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
54,33,8,5/3/2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
55,57,9,11/3/2025,3,Customer support was  very helpful.,0.6997,Mixed Positive,0.5 to 1.0
56,15,10,12/11/2025,3,Shipping was fast and the item was well-packaged.,0,Neutral,0.0 to 0.49
57,41,10,4/6/2024,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
58,78,7,7/16/2024,2,"The product  is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
59,98,9,9/1/2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
60,11,16,12/27/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
61,50,19,2/24/2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
62,35,17,3/18/2023,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
63,93,2,1/5/2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
64,86,11,10/30/2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
65,34,3,6/15/2024,1,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
66,94,16,6/17/2023,4,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
67,67,13,4/12/2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
68,38,7,3/23/2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
69,77,12,8/3/2025,3,Five stars for the quick delivery.,0,Neutral,0.0 to 0.49
70,93,5,1/30/2024,4,Shipping was fast  and the item was well-packaged.,0,Positive,0.0 to 0.49
71,24,11,7/28/2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
72,29,4,5/29/2023,5,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
73,68,19,5/5/2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
74,59,9,5/16/2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
75,22,3,1/13/2024,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
76,9,10,8/31/2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
77,74,5,3/15/2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
78,6,10,12/9/2024,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
79,84,15,5/28/2024,2,The product arrived  late.,0,Negative,0.0 to 0.49
80,98,16,5/24/2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
81,3,19,9/4/2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
82,78,13,5/2/2023,4,Shipping  was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
83,32,11,5/26/2025,4,The quality is  top-notch.,0,Positive,0.0 to 0.49
84,40,20,7/17/2023,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
85,17,6,10/25/2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
86,78,3,10/6/2025,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
87,89,17,5/26/2023,3,Not  worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
88,93,19,8/26/2025,4,Exceeded my expectations!,0,Positive,0.0 to 0.49
89,60,3,7/8/2024,3,The quality is top-notch.,0,Neutral,0.0 to 0.49
90,47,17,11/12/2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
91,4,16,9/27/2025,3,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
92,2,16,11/21/2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
93,60,13,9/5/2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
94,2,16,3/14/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
95,16,16,4/7/2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
96,19,13,9/2/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
97,64,6,1/19/2024,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
98,96,3,11/20/2025,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
99,79,16,1/29/2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
100,9,2,6/20/2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
101,61,18,9/11/2024,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
102,4,2,8/22/2025,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
103,82,14,11/17/2024,5,The quality is top-notch.,0,Positive,0.0 to 0.49
104,96,5,1/6/2023,4,"I love  this product, will buy again!",0.6696,Positive,0.5 to 1.0
105,32,12,8/27/2024,2,The product  arrived late.,0,Negative,0.0 to 0.49
106,94,17,2/25/2024,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
107,26,10,2/17/2025,5,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
108,80,17,12/22/2023,5,Five stars for the  quick delivery.,0,Positive,0.0 to 0.49
109,38,10,7/25/2023,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
110,54,12,8/2/2024,4,Customer  support was very helpful.,0.6997,Positive,0.5 to 1.0
111,43,7,11/5/2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
112,87,3,5/26/2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
113,27,9,3/31/2024,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
114,52,19,5/4/2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
115,82,9,9/28/2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
116,70,18,7/23/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
117,20,14,4/19/2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
118,59,6,5/1/2024,1,The product arrived late.,0,Negative,0.0 to 0.49
119,34,5,9/6/2025,4,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
120,3,20,8/18/2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
121,91,1,11/2/2025,2,"Good quality, but could be cheaper.",0.2382,Mixed Negative,0.0 to 0.49
122,83,14,9/27/2024,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
123,93,1,9/22/2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
124,36,16,7/17/2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
125,55,11,12/20/2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
126,32,10,8/12/2024,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
127,47,8,3/25/2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
128,71,20,12/13/2023,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
129,46,13,2/14/2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
130,88,3,9/22/2025,5,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
131,42,5,6/16/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
132,21,7,11/13/2025,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
133,40,4,5/24/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
134,74,4,3/27/2024,3,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
135,48,14,6/8/2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
136,17,3,3/27/2025,5,Amazing value for  the price.,0.7351,Positive,0.5 to 1.0
137,88,6,3/2/2023,4,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
138,28,15,1/18/2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
139,36,16,4/20/2023,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
140,53,18,12/3/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
141,98,9,10/15/2024,5,Amazing value for the  price.,0.7351,Positive,0.5 to 1.0
142,15,7,8/4/2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
143,3,12,4/12/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
144,27,15,8/16/2025,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
145,27,10,3/5/2024,3,"The  product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
146,5,13,1/9/2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
147,100,20,1/25/2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
148,17,18,11/5/2024,1,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
149,50,3,12/20/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
150,4,15,6/18/2024,5,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
151,21,19,10/30/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
152,32,16,12/15/2025,3,"Good quality, but  could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
153,95,11,11/6/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
154,3,12,12/19/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
155,89,3,12/10/2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
156,5,7,1/26/2025,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
157,10,17,10/14/2025,2,The product arrived late.,0,Negative,0.0 to 0.49
158,37,2,4/16/2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
159,23,12,9/1/2023,5,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
160,71,9,1/2/2024,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
161,9,18,8/5/2025,2,The product arrived  late.,0,Negative,0.0 to 0.49
162,64,20,7/25/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
163,89,7,5/27/2023,5,The quality is top-notch.,0,Positive,0.0 to 0.49
164,25,19,3/16/2024,2,Product did not  meet my expectations.,0,Negative,0.0 to 0.49
165,97,3,6/3/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
166,87,3,11/1/2023,3,"Good  quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
167,28,16,8/2/2023,2,Product did not meet  my expectations.,0,Negative,0.0 to 0.49
168,72,2,12/13/2025,3,Customer support was very helpful.,0.6997,Mixed Positive,0.5 to 1.0
169,26,8,9/28/2025,5,Five stars for the quick  delivery.,0,Positive,0.0 to 0.49
170,53,13,6/23/2024,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
171,2,16,2/16/2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
172,79,2,11/23/2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
173,15,16,5/30/2025,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
174,91,8,6/23/2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
175,3,6,11/2/2024,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
176,21,11,11/23/2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
177,93,19,7/3/2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
178,17,20,5/25/2025,4,The quality is  top-notch.,0,Positive,0.0 to 0.49
179,46,20,11/26/2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
180,77,5,3/8/2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
181,4,3,8/9/2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
182,21,11,3/8/2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
183,13,5,6/8/2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
184,59,5,12/29/2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
185,8,6,11/13/2023,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
186,22,13,2/17/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
187,58,18,5/1/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
188,70,5,9/19/2025,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
189,83,7,3/13/2025,2,The product  arrived late.,0,Negative,0.0 to 0.49
190,83,3,8/10/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
191,68,3,9/5/2024,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
192,42,17,8/4/2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
193,84,20,6/21/2024,3,"The product is okay, but the instructions were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
194,7,7,5/19/2025,1,The product arrived late.,0,Negative,0.0 to 0.49
195,75,5,10/25/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
196,91,2,10/29/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
197,51,15,11/27/2024,4,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
198,57,8,8/27/2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
199,6,13,8/20/2024,5,The  quality is top-notch.,0,Positive,0.0 to 0.49
200,30,17,1/9/2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
201,59,6,5/23/2023,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
202,33,9,9/6/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
203,66,18,11/22/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
204,95,14,11/29/2024,4,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
205,88,12,4/6/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
206,72,14,8/22/2023,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
207,95,18,6/7/2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
208,94,8,3/25/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
209,70,8,11/5/2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
210,28,1,12/10/2023,2,The product arrived late.,0,Negative,0.0 to 0.49
211,84,12,3/7/2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
212,87,10,1/3/2023,1,"Terrible customer service, would not buy again.",-0.4767,Negative,-0.49 to 0.0
213,7,13,4/9/2024,5,Shipping was fast and  the item was well-packaged.,0,Positive,0.0 to 0.49
214,53,18,4/13/2025,3,Five stars for the quick delivery.,0,Neutral,0.0 to 0.49
215,55,10,1/7/2024,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
216,49,7,11/14/2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
217,62,11,8/19/2023,5,Amazing value  for the price.,0.7351,Positive,0.5 to 1.0
218,35,8,9/14/2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
219,90,9,2/18/2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
220,78,9,8/12/2025,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
221,26,2,10/21/2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
222,54,14,2/28/2024,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
223,37,16,7/31/2023,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
224,68,15,3/27/2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
225,80,1,9/8/2025,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
226,60,9,8/23/2023,2,The product arrived late.,0,Negative,0.0 to 0.49
227,74,11,8/10/2024,4,"Good  quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
228,20,19,10/23/2025,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
229,69,12,2/7/2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
230,54,11,10/19/2023,2,The product arrived late.,0,Negative,0.0 to 0.49
231,15,16,4/15/2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
232,17,3,10/11/2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
233,81,4,11/14/2024,2,The product arrived late.,0,Negative,0.0 to 0.49
234,80,9,3/6/2023,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
235,54,3,3/18/2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
236,55,16,3/3/2025,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
237,44,2,9/29/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
238,47,9,4/18/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
239,45,9,1/28/2024,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
240,20,16,11/9/2024,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
241,61,15,4/22/2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
242,20,20,6/7/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
243,24,11,2/17/2023,1,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
244,36,4,8/25/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
245,50,3,3/23/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
246,71,12,7/23/2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
247,28,6,11/24/2025,5,"Excellent product, highly  recommend!",0.7773,Positive,0.5 to 1.0
248,81,6,7/15/2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
249,75,2,1/4/2023,1,"Not  satisfied, the product broke after a week.",-0.6288,Negative,-1.0 to -0.5
250,22,11,9/21/2023,1,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
251,16,2,2/1/2024,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
252,6,6,3/18/2025,5,The build quality is  impressive.,0.5106,Positive,0.5 to 1.0
253,75,15,8/3/2024,3,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
254,30,19,12/31/2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
255,13,16,1/23/2024,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
256,91,3,2/11/2024,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
257,84,13,10/3/2023,3,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
258,34,7,5/13/2025,4,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
259,75,2,8/24/2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
260,44,18,3/7/2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
261,29,12,10/15/2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
262,45,7,7/7/2024,5,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
263,47,8,10/21/2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
264,96,18,8/19/2025,4,Shipping was fast and the  item was well-packaged.,0,Positive,0.0 to 0.49
265,22,19,5/14/2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
266,62,5,2/22/2025,5,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
267,55,19,12/1/2023,3,"The product is  okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
268,98,17,10/28/2023,5,The build quality  is impressive.,0.5106,Positive,0.5 to 1.0
269,75,4,11/18/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
270,46,6,9/25/2023,1,The color was different from what was shown.,0,Negative,0.0 to 0.49
271,21,17,8/8/2025,5,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
272,39,17,3/26/2023,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
273,10,2,10/9/2024,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
274,93,11,4/7/2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
275,45,12,4/3/2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
276,86,1,1/29/2025,5,The quality is top-notch.,0,Positive,0.0 to 0.49
277,22,6,3/21/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
278,80,20,3/1/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
279,86,5,7/21/2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
280,68,19,11/9/2023,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
281,71,5,11/19/2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
282,59,5,2/17/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
283,87,13,2/14/2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
284,89,13,9/1/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
285,29,3,8/25/2023,4,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
286,53,16,5/4/2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
287,75,6,2/14/2025,5,"I love this product, will  buy again!",0.6696,Positive,0.5 to 1.0
288,68,17,6/21/2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
289,87,15,10/4/2023,5,Customer support was  very helpful.,0.6997,Positive,0.5 to 1.0
290,20,14,9/23/2024,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
291,17,7,12/6/2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
292,15,7,10/19/2025,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
293,25,13,2/14/2023,3,Not worth  the money.,-0.1695,Mixed Negative,-0.49 to 0.0
294,63,13,11/9/2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
295,61,6,10/13/2024,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
296,85,18,12/13/2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
